TREAT;LENGTH;NO_R;REPLICATE;PATCH;WEEK;AFEMA
8_NO_2;8;NO;2;1.2;2;21
8_NO_2;8;NO;2;1.3;2;47
8_NO_2;8;NO;2;2.1;2;25
8_NO_2;8;NO;2;2.2;2;24
8_NO_2;8;NO;2;2.3;2;37
8_NO_2;8;NO;2;3.1;2;19
8_NO_2;8;NO;2;3.2;2;25
8_NO_2;8;NO;2;3.3;2;27
8_NO_3;8;NO;3;1.1;2;25
8_NO_3;8;NO;3;1.2;2;17
8_NO_3;8;NO;3;1.3;2;31
8_NO_3;8;NO;3;2.1;2;52
8_NO_3;8;NO;3;2.2;2;10
8_NO_3;8;NO;3;2.3;2;64
8_NO_3;8;NO;3;3.1;2;37
8_NO_3;8;NO;3;3.2;2;20
8_NO_3;8;NO;3;3.3;2;58
8_NO_4;8;NO;4;1.1;2;14
8_NO_4;8;NO;4;1.2;2;35
8_NO_4;8;NO;4;1.3;2;18
8_NO_4;8;NO;4;2.1;2;18
8_NO_4;8;NO;4;2.2;2;NA
8_NO_4;8;NO;4;2.3;2;27
8_NO_4;8;NO;4;3.1;2;40
8_NO_4;8;NO;4;3.2;2;21
8_NO_4;8;NO;4;3.3;2;31
8_NO_5;8;NO;5;1.1;2;11
8_NO_5;8;NO;5;1.2;2;4
8_NO_5;8;NO;5;1.3;2;57
8_NO_5;8;NO;5;2.1;2;7
8_NO_5;8;NO;5;2.2;2;6
8_NO_5;8;NO;5;2.3;2;37
8_NO_5;8;NO;5;3.1;2;19
8_NO_5;8;NO;5;3.2;2;4
8_NO_5;8;NO;5;3.3;2;29
8_R_1;8;R;1;1.1;2;14
8_R_1;8;R;1;1.2;2;4
8_R_1;8;R;1;1.3;2;16
8_R_1;8;R;1;2.1;2;21
8_R_1;8;R;1;2.2;2;4
8_R_1;8;R;1;2.3;2;3
8_R_1;8;R;1;3.1;2;20
8_R_1;8;R;1;3.2;2;6
8_R_1;8;R;1;3.3;2;11
8_R_2;8;R;2;1.1;2;12
8_R_2;8;R;2;1.2;2;14
8_R_2;8;R;2;1.3;2;17
8_R_2;8;R;2;2.1;2;4
8_R_2;8;R;2;2.2;2;1
8_R_2;8;R;2;2.3;2;1
8_R_2;8;R;2;3.1;2;6
8_R_2;8;R;2;3.2;2;7
8_R_2;8;R;2;3.3;2;6
8_R_3;8;R;3;1.1;2;24
8_R_3;8;R;3;1.2;2;22
8_R_3;8;R;3;1.3;2;24
8_R_3;8;R;3;2.1;2;15
8_R_3;8;R;3;2.2;2;13
8_R_3;8;R;3;2.3;2;4
8_R_3;8;R;3;3.1;2;29
8_R_3;8;R;3;3.2;2;26
8_R_3;8;R;3;3.3;2;9
16_NO_1;16;NO;1;1.1;3;4
16_NO_1;16;NO;1;1.2;3;0
16_NO_1;16;NO;1;1.3;3;13
16_NO_1;16;NO;1;2.1;3;9
16_NO_1;16;NO;1;2.2;3;0
16_NO_1;16;NO;1;2.3;3;9
16_NO_1;16;NO;1;3.1;3;4
16_NO_1;16;NO;1;3.2;3;10
16_NO_1;16;NO;1;3.3;3;17
16_NO_2;16;NO;2;1.1;3;4
16_NO_2;16;NO;2;1.2;3;3
16_NO_2;16;NO;2;1.3;3;10
16_NO_2;16;NO;2;2.1;3;0
16_NO_2;16;NO;2;2.2;3;4
16_NO_2;16;NO;2;2.3;3;8
16_NO_2;16;NO;2;3.1;3;3
16_NO_2;16;NO;2;3.2;3;15
16_NO_2;16;NO;2;3.3;3;1
16_NO_3;16;NO;3;1.1;3;5
16_NO_3;16;NO;3;1.2;3;6
16_NO_3;16;NO;3;1.3;3;3
16_NO_3;16;NO;3;2.1;3;1
16_NO_3;16;NO;3;2.2;3;8
16_NO_3;16;NO;3;2.3;3;8
16_NO_3;16;NO;3;3.1;3;15
16_NO_3;16;NO;3;3.2;3;0
16_NO_3;16;NO;3;3.3;3;2
16_NO_4;16;NO;4;1.1;3;7
16_NO_4;16;NO;4;1.2;3;0
16_NO_4;16;NO;4;1.3;3;32
16_NO_4;16;NO;4;2.1;3;1
16_NO_4;16;NO;4;2.2;3;2
16_NO_4;16;NO;4;2.3;3;0
16_NO_4;16;NO;4;3.1;3;4
16_NO_4;16;NO;4;3.2;3;7
16_NO_4;16;NO;4;3.3;3;12
16_NO_5;16;NO;5;1.1;3;10
16_NO_5;16;NO;5;1.2;3;1
16_NO_5;16;NO;5;1.3;3;51
16_NO_5;16;NO;5;2.1;3;2
16_NO_5;16;NO;5;2.2;3;18
16_NO_5;16;NO;5;2.3;3;17
16_NO_5;16;NO;5;3.1;3;3
16_NO_5;16;NO;5;3.2;3;22
16_NO_5;16;NO;5;3.3;3;18
16_R_1;16;R;1;1.1;3;4
16_R_1;16;R;1;1.2;3;12
16_R_1;16;R;1;1.3;3;11
16_R_1;16;R;1;2.1;3;10
16_R_1;16;R;1;2.2;3;15
16_R_1;16;R;1;2.3;3;9
16_R_1;16;R;1;3.1;3;3
16_R_1;16;R;1;3.2;3;11
16_R_1;16;R;1;3.3;3;8
16_R_2;16;R;2;1.1;3;4
16_R_2;16;R;2;1.2;3;4
16_R_2;16;R;2;1.3;3;6
16_R_2;16;R;2;2.1;3;9
16_R_2;16;R;2;2.2;3;0
16_R_2;16;R;2;2.3;3;7
16_R_2;16;R;2;3.1;3;4
16_R_2;16;R;2;3.2;3;12
16_R_2;16;R;2;3.3;3;17
16_R_3;16;R;3;1.1;3;1
16_R_3;16;R;3;1.2;3;7
16_R_3;16;R;3;1.3;3;6
16_R_3;16;R;3;2.1;3;7
16_R_3;16;R;3;2.2;3;12
16_R_3;16;R;3;2.3;3;6
16_R_3;16;R;3;3.1;3;2
16_R_3;16;R;3;3.2;3;0
16_R_3;16;R;3;3.3;3;7
4_NO_1;4;NO;1;1.1;3;12
4_NO_1;4;NO;1;1.2;3;11
4_NO_1;4;NO;1;1.3;3;16
4_NO_1;4;NO;1;2.1;3;7
4_NO_1;4;NO;1;2.2;3;11
4_NO_1;4;NO;1;2.3;3;16
4_NO_1;4;NO;1;3.1;3;10
4_NO_1;4;NO;1;3.2;3;2
4_NO_1;4;NO;1;3.3;3;8
4_NO_2;4;NO;2;1.1;3;3
4_NO_2;4;NO;2;1.2;3;2
4_NO_2;4;NO;2;1.3;3;6
4_NO_2;4;NO;2;2.1;3;8
4_NO_2;4;NO;2;2.2;3;0
4_NO_2;4;NO;2;2.3;3;8
4_NO_2;4;NO;2;3.1;3;6
4_NO_2;4;NO;2;3.2;3;7
4_NO_2;4;NO;2;3.3;3;1
4_NO_3;4;NO;3;1.1;3;3
4_NO_3;4;NO;3;1.2;3;3
4_NO_3;4;NO;3;1.3;3;1
4_NO_3;4;NO;3;2.1;3;3
4_NO_3;4;NO;3;2.2;3;7
4_NO_3;4;NO;3;2.3;3;6
4_NO_3;4;NO;3;3.1;3;0
4_NO_3;4;NO;3;3.2;3;13
4_NO_3;4;NO;3;3.3;3;4
4_NO_4;4;NO;4;1.1;3;6
4_NO_4;4;NO;4;1.2;3;5
4_NO_4;4;NO;4;1.3;3;13
4_NO_4;4;NO;4;2.1;3;1
4_NO_4;4;NO;4;2.2;3;11
4_NO_4;4;NO;4;2.3;3;25
4_NO_4;4;NO;4;3.1;3;7
4_NO_4;4;NO;4;3.2;3;5
4_NO_4;4;NO;4;3.3;3;11
4_NO_5;4;NO;5;1.1;3;4
4_NO_5;4;NO;5;1.2;3;4
4_NO_5;4;NO;5;1.3;3;6
4_NO_5;4;NO;5;2.1;3;4
4_NO_5;4;NO;5;2.2;3;1
4_NO_5;4;NO;5;2.3;3;4
4_NO_5;4;NO;5;3.1;3;4
4_NO_5;4;NO;5;3.2;3;18
4_NO_5;4;NO;5;3.3;3;20
4_R_1;4;R;1;1.1;3;8
4_R_1;4;R;1;1.2;3;12
4_R_1;4;R;1;1.3;3;4
4_R_1;4;R;1;2.1;3;5
4_R_1;4;R;1;2.2;3;12
4_R_1;4;R;1;2.3;3;7
4_R_1;4;R;1;3.1;3;8
4_R_1;4;R;1;3.2;3;7
4_R_1;4;R;1;3.3;3;1
4_R_2;4;R;2;1.1;3;7
4_R_2;4;R;2;1.2;3;1
4_R_2;4;R;2;1.3;3;8
4_R_2;4;R;2;2.1;3;16
4_R_2;4;R;2;2.2;3;2
4_R_2;4;R;2;2.3;3;5
4_R_2;4;R;2;3.1;3;6
4_R_2;4;R;2;3.2;3;7
4_R_2;4;R;2;3.3;3;4
4_R_3;4;R;3;1.1;3;15
4_R_3;4;R;3;1.2;3;2
4_R_3;4;R;3;1.3;3;4
4_R_3;4;R;3;2.1;3;3
4_R_3;4;R;3;2.2;3;10
4_R_3;4;R;3;2.3;3;1
4_R_3;4;R;3;3.1;3;5
4_R_3;4;R;3;3.2;3;3
4_R_3;4;R;3;3.3;3;0
8_NO_1;8;NO;1;1.1;3;7
8_NO_1;8;NO;1;1.2;3;13
8_NO_1;8;NO;1;1.3;3;4
8_NO_1;8;NO;1;2.1;3;13
8_NO_1;8;NO;1;2.2;3;18
8_NO_1;8;NO;1;2.3;3;15
8_NO_1;8;NO;1;3.1;3;10
8_NO_1;8;NO;1;3.2;3;4
8_NO_1;8;NO;1;3.3;3;17
8_NO_2;8;NO;2;1.1;3;28
8_NO_2;8;NO;2;1.2;3;2
8_NO_2;8;NO;2;1.3;3;5
8_NO_2;8;NO;2;2.1;3;8
8_NO_2;8;NO;2;2.2;3;8
8_NO_2;8;NO;2;2.3;3;5
8_NO_2;8;NO;2;3.1;3;6
8_NO_2;8;NO;2;3.2;3;8
8_NO_2;8;NO;2;3.3;3;5
8_NO_3;8;NO;3;1.1;3;17
8_NO_3;8;NO;3;1.2;3;7
8_NO_3;8;NO;3;1.3;3;3
8_NO_3;8;NO;3;2.1;3;4
8_NO_3;8;NO;3;2.2;3;22
8_NO_3;8;NO;3;2.3;3;2
8_NO_3;8;NO;3;3.1;3;8
8_NO_3;8;NO;3;3.2;3;12
8_NO_3;8;NO;3;3.3;3;4
8_NO_4;8;NO;4;1.1;3;5
8_NO_4;8;NO;4;1.2;3;0
8_NO_4;8;NO;4;1.3;3;9
8_NO_4;8;NO;4;2.1;3;9
8_NO_4;8;NO;4;2.2;3;26
8_NO_4;8;NO;4;2.3;3;0
8_NO_4;8;NO;4;3.1;3;7
8_NO_4;8;NO;4;3.2;3;9
8_NO_4;8;NO;4;3.3;3;7
8_NO_5;8;NO;5;1.1;3;6
8_NO_5;8;NO;5;1.2;3;2
8_NO_5;8;NO;5;1.3;3;3
8_NO_5;8;NO;5;2.1;3;4
8_NO_5;8;NO;5;2.2;3;7
8_NO_5;8;NO;5;2.3;3;3
8_NO_5;8;NO;5;3.1;3;7
8_NO_5;8;NO;5;3.2;3;6
8_NO_5;8;NO;5;3.3;3;0
8_R_1;8;R;1;1.1;3;5
8_R_1;8;R;1;1.2;3;2
8_R_1;8;R;1;1.3;3;3
8_R_1;8;R;1;2.1;3;5
8_R_1;8;R;1;2.2;3;17
8_R_1;8;R;1;2.3;3;2
8_R_1;8;R;1;3.1;3;0
8_R_1;8;R;1;3.2;3;4
8_R_1;8;R;1;3.3;3;3
8_R_2;8;R;2;1.1;3;8
8_R_2;8;R;2;1.2;3;6
8_R_2;8;R;2;1.3;3;5
8_R_2;8;R;2;2.1;3;14
8_R_2;8;R;2;2.2;3;11
8_R_2;8;R;2;2.3;3;1
8_R_2;8;R;2;3.1;3;3
8_R_2;8;R;2;3.2;3;2
8_R_2;8;R;2;3.3;3;5
8_R_3;8;R;3;1.1;3;2
8_R_3;8;R;3;1.2;3;3
8_R_3;8;R;3;1.3;3;6
8_R_3;8;R;3;2.1;3;3
8_R_3;8;R;3;2.2;3;10
8_R_3;8;R;3;2.3;3;12
8_R_3;8;R;3;3.1;3;1
8_R_3;8;R;3;3.2;3;5
8_R_3;8;R;3;3.3;3;11
16_NO_1;16;NO;1;1.1;4;21
16_NO_1;16;NO;1;1.2;4;51
16_NO_1;16;NO;1;1.3;4;29
16_NO_1;16;NO;1;2.1;4;3
16_NO_1;16;NO;1;2.2;4;57
16_NO_1;16;NO;1;2.3;4;39
